id	huric_source_file	frame	sentence	lu	disc	lu+disc	disc2	lu+disc2
0	2170.xml	Following	follow,this,guy	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
1	2171.xml	Being_in_category	this,is,a,table,with,a,glass,deck	0,1,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0
2	2172.xml	Searching	search,for,the,coffee,cups	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0
3	2173.xml	Bringing	carry,the,book,to,my,nightstand	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0
4	2174.xml	Motion	go,to,the,kitchen	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
5	2175.xml	Bringing	please,carry,the,mug,to,the,bathroom	0,1,0,0,0,0,0	0,0,0,0,0,0,0	0,1,0,0,0,0,0	0,0,0,0,0,0,0	0,1,0,0,0,0,0
6	2176.xml	Searching	please,find,the,lamp	0,1,0,0	0,0,0,0	0,1,0,0	0,0,0,0	0,1,0,0
7	2177.xml	Bringing	please,bring,the,mobile,phone,to,the,livingroom	0,1,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0
8	2178.xml	Searching	can,you,find,the,refrigerator,for,me	0,0,1,0,0,0,0	0,0,0,0,0,0,0	0,0,1,0,0,0,0	0,0,0,0,0,0,0	0,0,1,0,0,0,0
9	2181.xml	Following	follow,the,person,with,the,blonde,hair,and,the,black,pants,fast	1,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0,0,0,0
10	2182.xml	Motion	can,you,please,move,near,the,right,lamp	0,0,0,1,0,0,0,0	0,0,0,0,1,0,0,0	0,0,0,1,1,0,0,0	0,0,0,0,1,0,0,0	0,0,0,1,1,0,0,0
11	2183.xml	Bringing	can,you,bring,the,mug,to,the,couch,in,the,living,room	0,0,1,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0,0,0,0
12	2184.xml	Being_located	there,are,two,sinks,in,the,kitchen	1,1,0,0,0,0,0	0,0,0,0,1,0,0	1,1,0,0,1,0,0	0,0,0,0,1,0,0	1,1,0,0,1,0,0
13	2185.xml	Bringing	bring,the,mug,to,the,kitchen	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0
14	2186.xml	Following	follow,the,person,behind,you	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0
15	2187.xml	Motion	drive,to,the,fridge	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
16	2188.xml	Searching	search,for,the,lamp	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
17	2189.xml	Following	follow,me,carefully	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
18	2190.xml	Bringing	bring,mug,to,bedroom	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
19	2191.xml	Searching	search,for,towel	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
20	2192.xml	Being_located	the,fridge,is,on,your,right,side	0,0,1,0,0,0,0	0,0,0,1,0,0,0	0,0,1,1,0,0,0	0,0,0,1,0,0,0	0,0,1,1,0,0,0
21	2193.xml	Motion	drive,to,kitchen	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
22	2194.xml	Following	follow,that,person	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
23	2195.xml	Placing	put,the,mug,in,the,living,room	1,0,0,0,0,0,0	0,0,0,1,0,0,0	1,0,0,1,0,0,0	0,0,0,1,0,0,0	1,0,0,1,0,0,0
24	2196.xml	Searching	find,the,wine,in,the,dining,room	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0
25	2197.xml	Motion	go,to,the,bathroom	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
26	2198.xml	Being_located	there,are,a,lot,of,couches,in,the,living,room	1,1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,1,0,0,0	1,1,0,0,0,0,1,0,0,0	0,0,0,0,0,0,1,0,0,0	1,1,0,0,0,0,1,0,0,0
27	2199.xml	Motion	go,to,the,living,room	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0
28	2199.xml	Searching	find,a,drink,for,me	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0
29	2200.xml	Being_located	there,is,some,bread,on,the,desk	1,1,0,0,0,0,0	0,0,0,0,1,0,0	1,1,0,0,1,0,0	0,0,0,0,1,0,0	1,1,0,0,1,0,0
30	2248.xml	Bringing	carry,the,mug,to,the,dining,room	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0
31	2249.xml	Motion	can,you,please,go,to,the,living,room	0,0,0,1,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0
32	2250.xml	Being_located	you,are,in,the,bedroom	0,1,0,0,0	0,0,1,0,0	0,1,1,0,0	0,0,1,0,0	0,1,1,0,0
33	2250.xml	Being_located	the,bed,is,between,two,lamps	0,0,1,0,0,0	0,0,0,0,0,0	0,0,1,0,0,0	0,0,0,0,0,0	0,0,1,0,0,0
34	2251.xml	Bringing	can,you,please,bring,my,phone,to,the,bathroom	0,0,0,1,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0,0
35	2252.xml	Following	follow,the,guy,with,the,blue,jacket	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0
36	2253.xml	Bringing	can,you,bring,me,the,coke,from,the,fridge	0,0,1,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0
37	2254.xml	Being_in_category	this,is,a,bed,room	0,1,0,0,0	0,0,0,0,0	0,1,0,0,0	0,0,0,0,0	0,1,0,0,0
38	2255.xml	Following	follow,the,person,in,front,of,you	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0
39	2256.xml	Motion	move,to,the,living,room	1,0,0,0,0	0,1,0,0,0	1,1,0,0,0	0,1,0,0,0	1,1,0,0,0
40	2257.xml	Bringing	bring,me,the,pillow,from,the,bed	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0
41	2258.xml	Bringing	bring,the,phone,to,the,dinner,table	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0
42	2259.xml	Following	please,follow,the,person,in,front,of,you	0,1,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0
43	2260.xml	Motion	go,to,the,sofa	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
44	2260.xml	Searching	search,for,the,pillow	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
